district,peer_index,overall_score,environment_score,performance_score,progress_score,additional_credit,num_test_takers,sat_critical_reading_mean,sat_mathematics_mean,sat_writing_mean
4,2.09,82.6,10.5,18.5,46.1,7.5,46.0,360.0,374.0,362.0
4,2.53,72.3,12.9,10.9,47.0,1.5,35.0,362.0,378.0,356.0
4,3.05,70.4,12.5,20.2,37.7,0.0,48.0,451.0,445.0,470.0
4,2.06,32.7,6.0,6.7,20.0,0.0,39.0,380.0,385.0,354.0
4,2.13,50.7,4.3,15.0,29.9,1.5,47.0,369.0,385.0,361.0
5,2.15,49.9,8.1,9.4,30.9,1.5,19.0,402.0,394.0,367.0
5,2.53,65.5,9.2,19.2,37.1,0.0,63.0,424.0,421.0,410.0
5,2.46,70.9,4.7,15.6,46.1,4.5,34.0,349.0,370.0,363.0
5,2.43,62.5,7.5,12.9,42.1,0.0,16.0,420.0,369.0,401.0
5,3.14,40.6,3.7,11.5,20.9,4.5,216.0,465.0,481.0,466.0
5,2.66,63.1,9.0,12.0,39.1,3.0,52.0,423.0,434.0,404.0
5,2.03,43.0,6.1,11.2,25.7,0.0,54.0,364.0,378.0,359.0
5,3.76,76.2,9.0,22.7,44.5,0.0,106.0,592.0,627.0,575.0
6,2.17,87.6,11.7,20.5,47.9,7.5,56.0,383.0,384.0,379.0
6,2.26,62.6,8.5,15.0,39.1,0.0,75.0,366.0,376.0,353.0
6,2.22,76.9,11.1,19.8,44.5,1.5,106.0,388.0,388.0,378.0
6,2.28,66.3,8.8,14.5,40.0,3.0,28.0,385.0,417.0,373.0
6,2.89,51.3,6.5,10.6,34.2,0.0,193.0,436.0,451.0,421.0
6,2.29,73.3,14.6,21.6,32.6,4.5,60.0,342.0,384.0,333.0
7,2.44,89.7,9.2,21.9,52.6,6.0,60.0,399.0,393.0,382.0
7,1.66,64.1,11.5,11.5,41.1,0.0,33.0,322.0,335.0,327.0
7,2.16,56.1,13.1,12.8,30.2,0.0,15.0,335.0,342.0,372.0
7,2.12,73.3,10.5,17.3,42.5,3.0,50.0,372.0,351.0,359.0
7,2.11,67.8,10.5,17.3,40.0,0.0,48.0,345.0,352.0,349.0
7,2.74,79.3,9.7,16.1,47.5,6.0,66.0,401.0,388.0,396.0
7,2.86,66.7,8.5,22.1,30.1,6.0,62.0,460.0,455.0,457.0
7,2.08,52.8,10.2,14.5,28.1,0.0,73.0,418.0,429.0,415.0
7,2.14,61.8,9.7,15.1,35.5,1.5,55.0,377.0,381.0,379.0
7,2.05,45.6,10.7,8.6,26.3,0.0,36.0,382.0,376.0,376.0
7,2.56,92.5,11.8,20.8,50.9,9.0,58.0,381.0,423.0,384.0
7,2.34,85.0,12.9,23.3,47.3,1.5,51.0,416.0,406.0,435.0
7,1.95,49.8,9.2,9.2,31.4,0.0,53.0,367.0,372.0,354.0
7,1.7,50.3,4.7,12.0,32.1,1.5,105.0,370.0,385.0,354.0
7,2.4,58.4,8.2,13.7,35.0,1.5,81.0,400.0,391.0,387.0
8,2.66,53.4,5.0,16.5,28.9,3.0,56.0,395.0,407.0,388.0
8,2.23,82.1,10.7,18.1,39.8,13.5,47.0,389.0,375.0,375.0
8,1.85,60.3,9.9,13.2,37.2,0.0,31.0,377.0,367.0,368.0
8,1.94,66.7,8.7,15.5,39.5,3.0,54.0,359.0,358.0,338.0
8,2.12,73.8,13.0,13.9,45.4,1.5,41.0,380.0,389.0,371.0
8,2.13,55.1,9.3,10.0,32.8,3.0,34.0,374.0,362.0,366.0
8,2.13,52.7,8.0,13.1,31.6,0.0,10.0,416.0,393.0,414.0
8,2.22,36.9,5.2,10.6,21.1,0.0,448.0,414.0,433.0,397.0
8,2.06,54.8,11.2,14.0,28.1,1.5,36.0,381.0,361.0,352.0
8,2.04,52.3,7.5,10.6,34.2,0.0,43.0,373.0,376.0,367.0
8,2.06,42.3,10.5,5.7,26.1,0.0,48.0,377.0,382.0,368.0
8,1.68,42.8,7.5,10.6,24.7,0.0,29.0,356.0,376.0,368.0
8,2.23,35.2,3.7,11.7,19.8,0.0,19.0,373.0,354.0,364.0
8,1.91,50.4,7.8,10.6,32.0,0.0,152.0,370.0,377.0,363.0
9,1.93,57.6,6.8,13.7,35.6,1.5,46.0,371.0,358.0,343.0
9,2.29,58.6,7.3,12.6,37.2,1.5,66.0,391.0,399.0,386.0
9,1.67,37.7,7.3,9.0,21.4,0.0,22.0,359.0,380.0,371.0
9,2.44,69.2,5.9,18.9,39.9,4.5,44.0,401.0,383.0,387.0
9,2.58,89.0,7.9,19.8,53.8,7.5,63.0,395.0,398.0,399.0
9,2.95,69.3,9.1,17.7,39.5,3.0,73.0,447.0,495.0,454.0
9,2.2,75.6,11.1,21.2,38.8,4.5,90.0,359.0,347.0,356.0
9,2.07,45.0,8.0,11.4,25.6,0.0,21.0,362.0,380.0,358.0
9,1.83,82.1,8.7,21.1,41.8,10.5,22.0,388.0,352.0,378.0
9,2.14,45.2,7.1,7.9,28.7,1.5,46.0,394.0,404.0,389.0
9,1.97,73.9,12.8,17.2,36.4,7.5,37.0,335.0,335.0,340.0
9,1.88,69.5,10.2,17.2,42.1,0.0,32.0,366.0,373.0,371.0
9,1.96,57.9,9.7,12.5,35.7,0.0,35.0,369.0,397.0,366.0
9,2.78,67.6,9.5,18.6,36.5,3.0,98.0,423.0,450.0,435.0
9,1.75,55.9,10.5,14.0,31.4,0.0,81.0,347.0,353.0,351.0
9,2.48,66.6,9.1,17.1,37.4,3.0,87.0,413.0,390.0,420.0
9,2.34,60.0,9.1,20.2,30.7,0.0,44.0,399.0,414.0,406.0
9,2.12,65.3,10.4,17.1,34.8,3.0,116.0,402.0,397.0,396.0
9,1.95,95.8,12.5,25.0,55.3,3.0,26.0,332.0,379.0,337.0
10,2.55,75.3,8.9,22.1,41.3,3.0,101.0,475.0,479.0,470.0
10,2.26,78.6,10.0,25.0,34.6,9.0,36.0,374.0,402.0,364.0
10,2.58,106.3,13.0,25.0,59.3,9.0,53.0,382.0,375.0,363.0
10,2.39,82.4,8.4,22.5,44.0,7.5,48.0,373.0,358.0,366.0
10,2.06,49.0,10.1,6.9,30.5,1.5,32.0,365.0,382.0,375.0
10,1.85,69.4,11.3,17.0,38.1,3.0,40.0,313.0,316.0,296.0
10,2.43,59.3,8.4,16.4,31.5,3.0,54.0,404.0,397.0,383.0
10,2.18,66.2,15.0,14.9,34.8,1.5,10.0,349.0,346.0,364.0
10,2.34,65.2,12.5,9.3,41.9,1.5,46.0,333.0,336.0,285.0
10,2.69,60.7,10.3,7.4,35.5,7.5,56.0,418.0,411.0,398.0
10,2.04,77.8,10.2,16.5,42.1,9.0,50.0,386.0,385.0,381.0
10,2.03,75.3,8.0,17.1,50.2,0.0,65.0,358.0,370.0,346.0
10,2.09,82.9,11.4,18.8,48.2,4.5,42.0,377.0,375.0,375.0
10,2.13,49.2,6.5,8.1,31.6,3.0,71.0,375.0,385.0,373.0
