district,peer_index,overall_score,environment_score,performance_score,progress_score,additional_credit,num_test_takers,sat_critical_reading_mean,sat_mathematics_mean,sat_writing_mean
28,3.89,72.3,9.6,22.0,40.7,0.0,99.0,613.0,650.0,612.0
28,2.59,60.0,8.3,15.2,32.0,4.5,62.0,408.0,429.0,412.0
29,2.43,70.0,7.3,15.1,46.1,1.5,46.0,372.0,388.0,381.0
29,2.54,72.7,9.4,18.1,42.2,3.0,42.0,406.0,415.0,394.0
29,2.34,73.2,8.7,18.2,41.8,4.5,55.0,394.0,358.0,388.0
29,2.6,79.6,9.5,16.6,44.5,9.0,68.0,425.0,435.0,418.0
29,2.55,61.7,9.7,15.2,35.3,1.5,18.0,413.0,402.0,388.0
29,2.61,48.5,5.0,14.1,29.4,0.0,59.0,405.0,430.0,405.0
29,2.3,41.4,4.3,14.2,19.9,3.0,60.0,406.0,412.0,391.0
29,2.15,46.6,6.1,11.2,29.3,0.0,52.0,388.0,389.0,380.0
29,2.48,55.8,7.2,20.0,27.1,1.5,45.0,383.0,371.0,370.0
30,2.41,56.1,8.2,11.4,30.5,6.0,322.0,405.0,456.0,408.0
30,2.47,55.4,6.3,12.3,32.3,4.5,296.0,418.0,434.0,408.0
30,3.38,75.2,6.0,22.9,43.3,3.0,153.0,506.0,495.0,499.0
30,2.45,70.2,11.5,16.5,36.2,6.0,140.0,440.0,452.0,424.0
30,2.22,80.5,13.7,25.0,38.8,3.0,147.0,343.0,447.0,346.0
30,3.03,70.5,8.9,18.7,36.9,6.0,120.0,502.0,505.0,515.0
30,3.58,71.4,8.5,18.5,44.4,0.0,64.0,560.0,587.0,570.0
31,2.66,87.6,11.1,23.6,46.9,6.0,86.0,508.0,523.0,502.0
31,2.39,75.7,10.4,16.8,41.0,7.5,282.0,431.0,446.0,434.0
31,2.2,65.3,8.3,15.1,35.9,6.0,237.0,437.0,442.0,425.0
31,2.33,69.8,8.7,18.1,35.5,7.5,373.0,439.0,441.0,430.0
31,2.82,68.4,6.5,16.6,34.8,10.5,698.0,459.0,482.0,467.0
31,2.49,78.7,10.4,20.6,44.7,3.0,531.0,463.0,482.0,457.0
31,2.15,77.9,12.4,19.6,44.4,1.5,10.0,474.0,431.0,397.0
31,1.88,76.0,9.7,18.4,43.4,4.5,48.0,411.0,429.0,386.0
31,3.89,77.4,10.4,24.1,42.9,0.0,287.0,638.0,673.0,617.0
32,2.02,84.4,7.1,17.5,52.3,7.5,36.0,382.0,369.0,374.0
32,2.42,48.5,7.0,11.4,30.1,0.0,82.0,389.0,390.0,376.0
32,2.07,85.9,10.8,19.0,51.6,4.5,72.0,363.0,364.0,358.0
32,1.92,66.1,9.4,14.6,37.6,4.5,49.0,355.0,361.0,353.0
32,2.86,82.4,13.5,15.1,53.8,0.0,29.0,394.0,420.0,395.0
32,1.91,64.3,10.8,15.3,36.7,1.5,30.0,357.0,345.0,351.0
